"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Grb10",58.07,7.55,197.55,18.84,304.16,8.94,0,0,244.6,146.82,34.58,0.53,0,21.69,124.43,2.64,6.92,50.03,41.8,147.98,0.74,36.91,0,0,361.52,86.12,87.09,81.31,56.71,70.58,52.9,65.92,61.4,27.28,52.18,0,13.52,5.33,0,61.34,130.81,0,158.06,77.43,11.37,65.44,204.84,0.44,1.83,0.21,0,13.48,0,0.1,223.9,82.62,7.66,8.01,0,8.11,0,112.28,0.87,47.52,104.95,111.38,22.66,0,0,36.79,0.78,0,0.15,5.2,0,0,6.95,3.29
"Nav3",0,0,0,0,0,6.5,0,0,0,0,15.04,0,0,0,0,0,9.73,0,0,0,0,0,0,2.59,2.33,0,0,13.21,0,0,0,0,51.74,0,0,0,71.36,0,0,0,0,0,0,0,67.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0
"Ddc",0,0,368.81,0,188.31,0,0,0,0,123.26,0,192.17,0,474.7,77.86,0,0,0.88,0,0,0.88,1086.39,1.83,0,0,0,0,0,0,0,23.77,0,0,262.63,61.19,0,74.59,322.14,0,65.86,22.79,0,0,122.86,35.62,1.69,10.88,0,175.93,2.12,4.69,0,1.26,1.79,58.4,812.67,0.27,31.59,0,0.4,0.49,0,0,62.59,151.33,0,0,366.31,539.9,1.79,3.36,0,11.67,0,0,130.79,334.93,87.31
"Mdm2",179.38,187.51,0,121.24,0.82,0,0,1.47,0,15.25,92.03,0,18.29,27.13,0.66,1.98,37.82,36.29,41.73,0,21.12,66.68,116.12,0,0,0,14.95,9.98,112.69,22,2.6,23.26,29.02,31.55,125.25,163.65,74.97,39.85,3.08,221.59,107.19,0,56.45,59.37,82.12,0,39.3,0,69.01,109.56,41.52,0.43,2.15,36.54,576.26,0,33.52,377.3,155.84,153.32,0,39.95,63.39,152.17,0.68,62.12,2.36,136.31,41.61,91.74,38.05,124.94,2.28,139.82,121.38,164.61,241.82,17.46
"Osbpl8",3.07,12.19,0.75,134.59,0,0.17,30.28,0.49,10.14,0.29,0.06,8.52,0.33,2.07,0.06,13.67,5.71,0.55,4.93,0.15,7.65,0.31,3.81,0.27,0.2,2.37,0,3.64,8.98,0.61,0.2,0.53,0.66,0.3,0.82,2.23,4.47,0.8,2.69,1.84,0.19,0,0.35,0.55,3.35,0.18,15.65,9.87,0.87,0.27,0.18,0.15,16.52,5.21,0,0.74,0.14,3,0,0.42,0.08,0,0.53,2.47,0.85,3.37,1.13,0.46,0.69,1.4,4.57,0.77,5.63,7.42,4.14,6.15,18.51,0.22
"Mknk2",51.77,238.76,0,56.72,0,0,47.83,191.72,28.69,255.42,82.12,207.28,146.32,89.52,26.37,305.73,7.78,175.03,66.02,246.13,90.5,18.43,57.55,112.25,0,117.58,205.55,18.92,168.38,30.13,0.93,100.19,12.07,1.27,64.15,59.09,75.85,43.11,16.13,43.41,377.98,5.6,4.35,164.06,153.05,25.36,109.21,51.78,5.81,29.43,70.24,29.08,156.8,40.45,93.55,24.14,78.89,10.38,68.32,114.03,24.16,74.51,43.11,85.2,38.09,78.41,119.26,48.04,23.74,0.49,93.09,44.57,96.76,84.89,168.32,259.25,176.77,5.58
"Cabin1",0,0.22,142.69,0,19.31,0,0,8.36,0.49,1.08,0,0,0,0.75,13.14,27.47,0,0,8.87,0,0,0,11.5,0,0.11,0.48,7.19,0.54,0,0.27,14.39,17.59,17.24,42.62,0,0,0,1.07,2.23,1.07,50.13,0,11.53,4.73,20.72,25.27,0.16,0,52.82,0,0,4.78,16.6,31.81,0,17.95,0,9.14,0,4.94,0.51,1.8,0.88,0.63,3.71,20.94,0,18.25,0.48,0.77,5.07,6.46,3.01,0,0.21,0.54,8.19,0
"Ap3d1",161.72,0,0,16,0,5.15,2.41,3.97,159.06,2.61,30.84,13.89,4.02,29.59,0.21,1.84,15.56,14.15,3.79,8.54,3.4,0,24.35,1.09,0,8.13,1.76,9.21,0,66.67,2.15,47.46,122.24,19.06,0.97,61.44,18.82,72.96,0,61.36,10.74,458.82,5.69,108.73,1.08,3.74,0.13,0,12.3,115.07,20.57,25.56,130.34,0,2.63,0,61.94,6.58,5.36,26.83,181.64,1.3,43.18,29.1,44.58,14.71,34.09,8.79,4.1,28.29,29.32,10.18,98.11,62.12,5.09,31.63,102.57,2.56
"Phlda1",0.38,90.32,1.47,36.67,9.55,1.34,0,72.42,32.79,0,1.71,0.93,0,20.76,10.42,0,7.09,0,0,0,25.27,0,9.53,34.66,0,0,1.12,19.1,0,3.37,50.93,8.49,31.82,0,0,41.56,0.8,0,6.28,28.72,1.13,0,0,6.92,0.46,9.16,1.35,0.94,33.66,1.34,12.1,0,65.05,0,1.36,2,0,20.75,0,0,12.82,49.37,40.44,113.99,9.58,3.11,0,13.84,0,0,3.7,13.28,16.07,48.09,29.77,0,0,72.48
"Vps13d",1.1,499.1,0,37.28,5.24,19.05,47.39,1.11,0.25,410.88,0.59,0,47.78,3.76,158.22,349.92,0.23,16,214.1,0,18.56,1.65,0.09,0.12,15.03,0.23,1.09,4.04,21.3,2.34,0.24,13.97,7.13,0,1.68,0,10.99,19.61,0,4.56,0.19,0.18,0.87,1.07,0.23,0.15,0.63,0.56,0.12,4.01,0.28,9.91,150.87,1.19,0.27,0.57,25.05,28.21,12.67,0.74,46.37,0.16,11.98,40.58,0.37,0.12,0.08,0.18,13.82,10.57,0.33,1.01,29.74,0.27,129.22,137.25,38.8,0.27
"Tmbim4",246.45,231.15,338.92,354.86,42.29,75.56,104.53,975.47,46.41,113.7,731.51,321.79,396.29,555.19,59.24,364.91,547.14,601.86,218.02,312.18,273.36,455.8,375.7,7.36,155.59,403.63,10.76,198.42,39.95,4.4,131.87,80.99,204.61,37.32,69.2,151.91,366.15,23.43,562.56,72.56,375.04,0,30.34,35.02,151.07,134.02,297.63,27.23,4.74,65.06,79.65,96.75,8.37,147.9,396.27,37.7,484.79,36.46,0.63,49.37,261.74,0,19.54,424.3,108.72,217.35,557.78,142.93,112.8,67.93,831.68,433.45,304.91,750.51,259.13,270.18,359.09,87.18
"Irak3",37.45,0,0,2.86,33.2,0,0,0,1.88,0,0,0,0,49.14,0,0,0.64,0,13.69,43.93,0,0,0,0,0,3.46,0,0,19.95,0,35.97,0,65.79,7.12,3.51,12.53,0,32.06,36.44,0,100.31,0,63.07,0,54,43.38,1.27,0,78.02,112.05,0.19,27.2,44.55,0,0,0,0,0,0,164.81,0,0,0,6.84,7.28,26.21,0.77,38.07,0,26.36,12.6,0.26,135.25,0,0,0,0.2,0
"Prmt2",0,0,339.78,0,341.51,0,0.38,362.3,0,78.88,0,45.8,6.25,59.12,2.64,230.66,92.39,0,0,0,135.52,255.75,12.68,0,0.42,164.91,0,6.55,0,62.67,0,0,2.37,0,0.59,0,467.01,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0.33,0,0,6.56,0,0,0,0,315.75,0,0,0,102.4,0,0,69.48,0,0,33.8,28.48,0,0,0,0,109.75,0
"Dip2a",0,0,0.27,12.5,0,0,2.43,0,0,0,0,0,0,0,0.96,0,0,0,0,0,1.68,0,1.57,0,0,0,0,14.22,0,0,0,0,0,0,26.83,0,0,0,0,0.11,0.17,0,0,2.15,0,0,0,0,16.76,0,0,0,34.64,0,0,0.41,0,0,0,0,0,0,1.13,0,0,0,0,38.55,0,0,0,0,0,0,0,0,0.19,0
"Hmg20b",0,0,0,0,0,0,0,56.61,0,0,12.82,91.84,34.58,20.57,0,0,2.95,0,1.98,4.72,17.54,0,6.96,12.07,0,0,0,3.72,23.02,0,160.02,88.84,3.39,25.72,19.8,49.19,8.78,0,46.67,15.79,8.05,0,6.14,26,4.17,51.98,0.52,98.8,2.97,7.92,13.49,0,0,113.71,24.29,18.11,72.72,89.57,0,0,0,129.11,0,3.95,86.69,29.5,0,0,50.57,57.4,41.94,0,0,0,0,0,58.43,0
"Ncln",0,0.6,4.11,0,0,0,0,0,0,0,1.72,0,0,0,0,0,7.18,0,0,0,0,0,0,2.53,0,0.4,0,0,0,0,0,0.32,0.65,0,0.12,15.89,118.19,0,0,0.8,0,0,10.3,1.3,11.21,8.16,0.61,1.13,148.04,2.87,0.17,10.13,0,228.54,6.53,0,137.43,0,3.69,0,0.31,0,9.23,0,0.43,2.25,0,1.1,78.08,69.41,44.4,0,0.68,0.32,0,1.56,0,0.61
"Col6a2",0.53,0,8,0,2.52,0,0,0,57.84,0,12.1,0.4,0,0.54,8.16,23.91,0.66,54.79,61.88,0,0,0,0,38.8,0,70.35,0,21.51,11.59,18.83,0,5.24,58.88,0,0,0,18.98,0,0,0,29.31,0,0,3.45,0,0.39,0,50.37,0,0,0,0,4.05,2.54,29.48,0,31.14,0,0,0,0,0,0,9.61,0.83,0,0,0,0,0,0,3.67,0,0,0,0,2.53,1.43
"Hcfc2",0.41,0,0.27,0.77,0,0,13.84,14.92,0,0,58.08,0,0,3.25,15.43,11.48,50.91,0,61.04,0,13.17,0,0,0,0,37.76,0,66.17,0,123.38,0,0,7.02,0,0.95,3.37,0,0,0,41.99,0,0,0,12.54,0.3,0,88.32,0,0,0,3.05,0,163.91,0,0,0,4.47,0,0,0,0,0,0,0.2,0,0,0.63,0,16.28,0.93,10.77,0,8.82,0,0,27.12,48.6,0.29
"Txnrd1",11.06,30.26,0,0,13.09,0,1529.77,0.8,41.91,26.56,5.78,0.75,19.18,12.71,40.11,0,15.19,14.2,6.68,0,111.84,1.31,145.92,1.53,0,1.43,134.32,139.45,0.61,17.68,112.22,94.99,5.48,30.04,117.2,58.66,1.45,26.04,90.37,38.05,0.41,0,71.01,270.47,75.1,11.65,4.81,36.24,75.83,8.21,85.21,65.53,49.55,130.44,48.41,50.99,69.59,108.36,178.05,108.49,2.85,5.13,46.08,73.14,5.43,87.16,71.39,118.5,14.53,10.21,32.75,29.69,23.98,11.45,175.23,24.82,28.35,3.6
"Ppm1m",0,0,0,0,0,0,0,0,0,2.8,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,16.57,0.26,44.05,0,0,0,0,0.19,6.65,0,0,0,0,0,0,0,0,0,0.98,0,0.17,0,0,0,0.21,0.14,0,0,0,0.94,0,0,2.45,4.43,0.51,22.65,0,0,0,0,0,0,0,0,0,0,0
"Aldh1l2",0.53,83.02,0,0,0.66,0.99,0,0,0,1.68,0,0,0,6.18,0.82,0,0.11,2.98,0,2.56,0,0,0,0,0,0,19.8,0,38.26,0,0,0.41,0,0.16,0,236.24,0.91,6.74,11.17,0.85,0,27.74,0,0,7.78,40.74,2.21,0,1.49,0.08,0.82,0.4,54.74,189.96,0,0.73,0.06,0,0,3.79,0,0,0.85,0.18,2.31,0,271.3,30.55,66.9,113.6,7.84,2.74,0,15.63,0,0.56,2.14,3.37
"Wdr82",84.6,0,72.3,23.68,0,0.37,1.73,0,0.63,124.19,0,1.06,0.22,0,1.89,10.43,10.52,35.58,7.88,182.63,0,133.24,0.31,0.35,0,0,0,33.11,3.34,5.22,46.79,14.18,16.96,58.82,1.54,0.4,0.37,22.2,65.04,5.96,0.22,0.59,1.76,0.87,23.84,101.18,3.86,83.38,0,130.93,1.29,16.21,1.38,0,52.26,0.46,52.97,34.05,127.14,0.69,16.68,168.5,25.55,58.75,63.48,99.68,47.46,0.44,24.72,71.32,6.03,31.71,0,0.92,39.34,0.69,6.37,0.68
"Pofut2",5.88,26.92,0,0,19.78,0,0,0,0,24.8,21.81,108.67,0,103.68,3.32,15.14,45.74,0.54,0.53,22.89,2.32,0,0,0,0,45.25,0,8.4,0,12.63,0,3.68,3.41,1.34,3.4,3.04,158.39,2.81,0.91,0.69,0.33,0,243.93,0,0,9.76,34.5,0,6.05,0,33.93,0,0,31.47,0.2,0.5,40.57,0,0.67,0,0,84.03,3.12,19.93,7.7,0.3,0,0,5.09,14.83,12.85,0,0,0,0,1.6,3.8,0
"Appl2",1.34,14.75,0.3,5.95,0,0,0,0,173.49,4.23,0,0,0,0,2.37,0,0,0,0,0,0.71,0,10.87,151.59,0,0,0,6.53,74.62,51.12,0,7.31,1.56,2.68,5.89,497.49,46.73,2.36,2.63,92.36,0,0,0,72.32,8.34,2.8,4.49,1.27,0,0,0,0,4.18,256.35,0,154.54,1.35,3.59,0,11.13,0,0,3.07,3.18,12.59,0,35.33,5.13,10.58,0,0.21,5.52,0,0,0,10.12,66.43,10.01
"Fbxw11",14.81,0,0.24,10.8,5.83,0,5.47,0,0.24,0,5.17,85.93,10.22,8.2,22.51,1.98,3.79,0,51.46,0,45.17,0,61.15,0,0,19.82,193.11,41.49,0,10.27,120.5,0.12,35.39,1.7,0,0,17.48,4,10.41,8.12,0,8.27,7.97,29.57,2.48,0,6.08,1.31,0.34,17.92,0.55,18.27,0,15.23,0.11,11.86,0,0,328.81,0.14,0.12,0,40.96,27.11,30.75,0,0,89.56,2.47,0,27.05,0,0,3.72,55.39,0,26.83,1.19
"Papolg",0,9.45,222.56,46.7,74.76,0,0,135.3,0,39.68,26,0,2.08,2.32,23.2,0.88,14.12,74.89,271.63,16.92,31.36,2.01,4.02,4.09,0.47,14.33,95.47,0.32,276.24,100.21,57.6,0.81,1.14,29.83,1.37,1.06,3.01,24.21,1.57,6.43,0,109.37,0.56,0.52,112.7,49.49,34.14,0.25,30.39,24.33,14.66,5.61,0.9,0.89,1.6,11.66,0,63.82,4.52,42.28,0,57.16,0.54,14.76,155.85,0,33.31,1.51,59.72,61.39,13.77,39.36,19.66,69.36,0,31.87,24.97,75.83
"Pfkl",46.03,202.22,0.49,0.88,60.16,204.47,0,7.27,0,1.86,54.26,254.84,191.49,249.43,25.98,4.2,32.81,1.24,117.45,35,44.68,62.27,16.95,84.87,0.22,10.48,228.81,108.14,159.48,0,29.22,23.85,1.07,206.23,14.06,136.41,212.9,153.88,26.16,9.43,89.7,11.51,13.51,38.05,347.59,77.17,1.02,0.99,46.76,76.51,2.12,144.94,115.04,43.19,24.13,2.28,235.52,5,677.24,4.72,182.05,87.61,30.8,29.56,55.39,35.87,187.36,24.33,54.93,127.78,70.44,74.18,80.75,21.78,5.28,0.18,27.1,26.8
"Pus10",1.33,0,0.58,0,40.5,0,0.23,0,44.7,0,0,0,0,0.69,2.38,0,2.6,0,0,192.89,0,0,7.12,0.83,0,0,0,0.35,0,0,156.32,0,8.03,16.77,57.85,0,0.16,8.51,6.01,3.54,0,430.25,111.47,0.26,0,73.34,0,336.94,0,48.59,61.13,130.44,0,33.67,0.98,0,144.86,0,395.26,0,105.08,5.34,105.33,0,6.08,184.96,0,116.59,1.69,64.82,25.21,3,57.59,174.14,0,0,77.05,0
"Rhbdf1",1.2,0,0,0,0,0,0,0,0,0,0,152.7,0,0,20.99,2.02,28.33,0,46.47,343.14,5.86,0,0,0,0,3.9,0,70.34,0.36,0,0,0,0,0,1.19,73.13,0.17,0,0,0,8.2,0,0,0,0,3.75,9.08,0,0,0,0,0,0,9.05,98.89,0,0,0,0,0,0,0,0,16.27,0,0,0,0,0,0,0,1,0,0,0,0.24,0,0
"Pex13",0.03,9.12,37.32,35.42,0,0,4.66,4.55,0,0,76.68,23.31,95.07,18.64,0,3.75,12.38,43.79,32.93,0.21,0,0,16.69,0,0,21.31,47.33,0.14,2.95,0,3.53,7.48,0.16,36.45,0,4.42,31.68,3.94,52.65,0,1.18,0,2.97,0,3.37,9.15,0.15,1.86,52.39,0,13.31,8.05,0.44,85.37,7.69,0.13,48.1,0,0,0.13,0.34,0,15.1,0,0.16,3.58,0,6.26,111.8,58.36,25.82,29.11,0.16,26.19,16.7,52.17,32.31,0.45
"1810043G02Rik",0,1.98,0,0,10.53,0,0,0,0,101.71,74.97,0,0.63,3.07,49.82,0,0.77,19.57,49.94,0,0,3.25,4.03,0,0.18,51.56,175.78,67.73,0,1.21,0,0.17,0,0.68,1.59,3.3,26.26,0.25,0,0.69,0.16,0.3,0,0.19,28.61,0.36,3.07,0.24,34.32,1.36,0,0.13,0.26,58.62,0,46.88,0.11,1.03,0.85,0.12,0.37,0,0.39,34.79,13.36,0,1.23,0.44,27.24,59.24,3.72,3.48,0.16,1.06,11.59,0.89,69.29,193.32
"Mpg",0,0,0,0,3.78,0,0,0,0,1.05,0,98.71,0,24.11,0,44.05,0,6.39,18.23,7.1,0,0,0,14.96,0,3.77,0,10.01,27.76,0,33.01,0,0,46.08,0,0,0,0,90.95,0,0,0,0,0,0,6.61,0.38,0,0.57,0,0,0,0,0,0,0,0,0,0,46.41,0,14.38,0,29.61,19.71,0,0,0,0,37.94,63.84,14.2,0,147.91,59.45,0,1.25,0
"Ahsa2",23.06,0,4.83,0,0,0,0,0,56.69,0,16.51,0,0,58.79,100.14,6.99,54.55,0,0,49.1,40.1,0,30.88,0,0,0,53.18,43.45,0,14.96,86.21,161.89,9.02,0,0,0,192.59,0,0,0,0,0,0,6.52,226.55,95.06,111.46,11.48,106.42,56.68,1.44,17.94,407.99,2.72,64.04,0,12.75,188.16,0,95.51,0,93.38,154.47,49.18,17.72,31.1,0,16.27,125.01,116.57,5.15,48.76,55.68,211.26,18.86,13.68,12.15,136.15
"Nprl3",10.98,0,14.99,0,0,0,0,0,0,0,0,0,0,0,97.42,0,20.17,0,0.4,0,76.97,0,0,7.52,0,0,0,2.56,0,0,0,0,8.02,0,0,0,0,0,130.13,0,0,0,0,0.28,109.84,113.16,0,0,0,0,4.84,74.69,21.55,0,0,0.19,0,0,0,1.17,859.41,0,0,53.15,34.27,48.7,0,0,31.95,0,0,90.6,15.83,0,0,17.11,12.72,0
"Cpeb4",6.57,0,0.81,47.07,172.88,26.07,88.83,132.02,177.46,1.68,0.35,0.63,0,11.65,2.93,0,2.68,27.14,3.71,0,25.85,46.17,22.58,4.75,5.6,0,0.86,24.51,0.58,1.93,0,0,39.87,36.14,1.29,1.45,16.79,11.12,0.61,1.11,2.51,0,0,3.49,21.01,0,29.39,9.88,0.09,4.18,4.94,8.68,0.12,127.93,0,4.65,16.78,0,0,37.17,0,0,0,40.57,0.74,26.37,35.26,58.98,47.45,0.55,17.87,32.03,181.7,38.61,62.53,2.44,9.82,0.18
"Asb3",10,0.53,0.37,15.1,0,0,0,14.97,0,0,0.32,0,18.38,5.18,0,19.64,1.38,2.85,44.01,0,11.28,24.68,53.55,0,10.19,33.14,0,0,9.14,0,3.52,15.33,5.61,1.5,0,1.69,0,0.17,4.61,11.03,0,0,132.49,4.52,23.96,0,17.12,0,0,1.09,26.79,35.87,3.4,0,0,1.12,141.36,0,0,0,0,0,19.63,66.59,0,0,0,22.84,0,38.37,8.21,62.73,15.01,260.65,0,0,22.56,0.59
"Cdc34",27.12,0,0.98,0,34.73,0,409.82,14.64,0,0,91.84,8.37,0,5.52,204.24,142.2,15.63,2.5,12.33,0,21.34,0,110.95,0,172.46,0,6.72,93.55,0,13.43,233.28,45.24,55.52,150.82,0.41,2.15,7.87,276.41,94.43,56.18,2.98,0,9.18,85.13,48.61,83.66,139.63,7.35,122.49,52.42,129.02,284.86,0,364.42,287.34,3.38,0.37,5.46,50.47,18.16,188.64,2.61,118.58,32.49,27.27,66.94,20.28,28.65,15.43,22.7,47.02,15.36,36.51,3.12,19.61,76.75,147.58,99.88
"Tpgs1",86.62,0,123.79,0,0,75.85,0,0,0,25.8,0,0,0,0,102.91,66.17,0,136.34,2.4,52.17,21.54,129.59,51.03,0,0,0,6.55,0,132.92,0,3.97,2.03,0,21.86,0,0,265.64,0,0,0,0,0,0,0.83,43.91,122.01,33.9,0,8.63,2.58,24.3,0,9.22,0,0,0,123.75,0,0,0,0,8.26,6.85,78.89,5.45,0,8.24,1.4,5.27,3.05,0.65,0,0,2.03,0,0,12.26,0
"Chac2",0,291.61,29.93,0,51.98,0,0,0,0,0,80.86,0,0,129.63,0,299.9,1.12,20.09,0,189.01,102.6,268.99,0,454.47,0,0,0,48.1,45.46,0,44.17,5.56,36.38,1.73,21.66,0,0.42,2.29,0,148.58,26.22,0,24,64.76,0.72,52.06,93.97,0,0,124.08,25.64,5.94,41.42,262.26,103.2,9.65,0,0,0,270.65,0,410.03,1.39,10.04,90.92,0,0,0,0,134.66,157.88,23.72,135.44,4.97,1.95,3.11,14.21,1.05
"Erlec1",1.41,0,0,14.9,0,0,2.63,20.91,0,0,4.48,0.69,1.87,9.96,77.99,0,0.27,4.67,41.51,3.6,17.67,0,9.09,0,0,56.97,9.06,0,0,139.47,4.19,1,27.45,0,0,0,0,0,15.8,9.32,21.06,0,0,19.57,0.7,0.94,6.8,86.02,55.29,0,31.54,0,0.26,0,0,8.8,0,0,0,0,0,0,0,2.32,0,3.12,22.22,0,0.29,8.67,43.29,8.23,0,22.57,0,3.51,0.51,1.52
"Sptbn1",1154.64,324.59,468.3,941.15,1152.89,528.75,110.07,892.27,1281.14,1188.89,817.91,565.34,1381.99,1859.4,994.55,455.81,1538.11,2148.48,7745.25,1718.48,432.59,3021.82,975.98,687.47,499.01,7128.99,640.87,893.01,316.17,685.23,234.41,439.64,365.42,179.41,280.13,317.55,969.03,428.8,256.86,1079.97,535.3,1245.07,118.79,446.2,943.82,473.85,500.39,5.43,118.95,1116.69,265.61,133.01,630.74,457.98,375.73,2043.99,460.04,376.07,281.14,677.39,504.22,131.75,134.07,477.01,525.39,320.55,1510.96,427.59,227.57,288.67,453.37,694.68,793.5,1180.88,1161.85,1646.52,296.71,874.72
"Wdpcp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,0,3.39,0,0,0,0,0,0,0,0,0,2.41,0.29,0,45.16,0,0,0,0,0,0,0,0,0,11.21,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0
"Ccng1",62.08,472.89,144.13,85.33,1.75,100.52,0,362.91,0,32.93,81.99,4.39,9.18,72.64,176.31,154.93,60.52,9.52,215.7,106.59,29.53,270.09,221.05,10.42,307.51,50.47,82.57,100.34,33.41,7.25,21.42,75.49,11.02,146.46,251.89,65.25,457.01,139.62,65.06,215.22,0,189.46,102.89,373.14,42.16,72.15,9.34,229.88,50.39,81.86,10.76,1.09,83.28,242.37,360.26,135.57,17.71,73.36,70.82,332.61,259.88,25.79,245.64,110.75,18.47,139.37,166.48,2.71,140.36,11.85,38.43,136.96,105.94,15.68,105.15,148.59,163.99,70.71
"Polrmt",0,0,0,0,0,0,0,0,0,27.76,0,0,0,0,0,0,3.03,0,0,0,0,0,16.28,0,0,0,0,0,0,0,5.85,1.09,143.87,0,0,0,0,33.53,0,0,0,0,0,0,0,0,0,0,2.25,0,0,6.19,0,0,0,0,0,280.94,0,0,0,306.08,0,0,0,117.04,0,0,48.55,2.52,5.06,0,0,3.8,0,0,8.75,21.22
"Slc22a4",0,0,0,21.56,0.35,0,226.67,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,12.55,0,0,0,0,0,0,34.24,0,0,0,0,3.33,0,0.45,0,0,0,4.82,0,0,0,0,0,23.7,0,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,0,0,0,0,0,0
"Mgat1",105.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,21.94,0,2.99,0,0.78,0,0,3.55,6.53,0.25,0,0,54.37,0,1.1,13.97,0,0,0,0,0.49,0,0,0,0,0,32.77,0,0,0,0,31.46,0,0,9.91,0.19,14.37,0,0,0,0,1.1,0,0,0,0,0.25,0.72,0,0,0,4.58,0,16.76,0,0,0,7.6,14.54,0
"Ppp2ca",42.9,0.24,0.52,153.46,51.02,0.17,95.98,6.96,0.39,0,7.74,3.53,122.54,10.96,17.01,0.13,13.47,0.19,18.2,7.32,31.48,28.17,79.37,180.79,27.59,5.75,1.49,37.84,16.01,109.99,24.46,1.79,65.24,15.01,3.75,0.61,6.84,23.75,40.82,19.85,5.03,67.93,8.15,34.95,18.63,11.6,6.58,143.59,11.51,20.04,7.35,1.66,22.85,0.14,67.91,81.69,7.53,82.38,25.6,18.19,0.38,16.39,7.85,45.28,16.02,0.81,160.15,24.1,42.41,13.5,12.77,57.56,35.17,16.17,1.22,0.1,24.52,234.62
"Hspa4",2.99,156.1,10.22,0.47,2.47,0,0,25.17,0.2,1.34,61.43,0.28,0.3,97.47,112.83,111.25,15.87,106.47,2.67,262.59,10.47,0,12.48,51.5,511.66,6.25,429.73,69.45,15.66,0,175.09,171.36,0.57,56.07,38.49,212.31,142.06,484.98,163.25,532.84,4.98,1.42,217.74,153.16,27.42,100.95,228.06,96.74,101.27,1.92,88.49,77.08,233.68,84.1,176.65,97.87,145.12,211.89,1.12,57.12,10.55,169.55,102.09,224.62,39.42,7.33,0,433.68,242.58,165.4,99.8,176.35,0.9,347.82,120.57,0,39.83,82.5
"Cnot6",17.49,18.28,22.45,3.44,37.91,0,69.09,1.47,0,2.84,24.41,0,0.16,67.38,0.34,0,40.07,1.09,59.46,0,26.98,1.86,24.47,528.97,344.21,31.36,49.57,41.67,7.13,7.47,8.74,15.56,118.87,5.22,165.74,33.23,8.6,6.45,67.54,61.12,497.18,0,9.63,64.27,7.28,74.37,100.56,87.85,16.3,16.22,113.4,9.9,75.26,103.04,203.28,5.91,51.17,44.55,80.67,80.86,30.59,112.57,85.71,15.79,5.5,140.14,69.15,1.31,243.94,23.82,41.26,24.89,50.25,119.53,232.45,146.8,37.69,174.77
"Gfpt2",171.58,0,0,0,0,0,0,0,0,141.26,0,0.88,0,0,0,0,0,0,27,0,100.27,0,0,0,0,17.22,0,0,0,3.57,0,0,0,0,0,0,0,73.56,0,0,0,0,9.07,0,0,0,0,0,6.69,0,0,91.12,0,0,91.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mapk9",0.31,0,0,0,0,0,0,32.68,0,9.95,0,0,0,2.08,0,0,22.49,0,1.77,0,0,22.64,0.42,26.84,0,0,304.11,4.92,58.89,9.24,0,0.11,0.74,0,0,0,0,0.49,95.83,20.39,0,0,3.68,1.08,0,0.87,0,0,0.31,0,0,0,18.87,2.46,0.47,0,0,2.58,0,0,0,33.37,0,0,0,0,0,0,0,0,85.01,0,0,0,0,0,17.6,0
